index,source,target
20,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
21,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
22,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
23,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
24,"{c05}≪ＨＲ1〜2≫{/c}の
{c05}≪ランゴスタ≫≪カンタロス≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Found in {c05}[HR 1-2] 
{/c}Trading: {c05}Npoints {/c}or
Carve {c05}Vespoid {/c}or {c05}Hornetaur{/c}."
25,"{c05}≪ＨＲ3〜4≫{/c}の
{c05}≪ランゴスタ≫≪カンタロス≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Found in {c05}[HR 3-4] 
{/c}Trading: {c05}Npoints {/c}or
Carve {c05}Vespoid {/c}or {c05}Hornetaur{/c}."
26,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
27,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",Trading: {c05}GCP {/c}points.
28,"{c05}≪調合≫{/c}や
{c05}≪Ｎポイント交換≫{/c}
から入手可能。","Obtained by {c05}Combination {/c}or
Trading: {c05}Npoints{/c}."
29,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
30,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
31,dummy,
32,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
33,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
34,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",Trading: {c05}GCP {/c}points.
35,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
36,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
37,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
38,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
39,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
40,"{c05}≪ＨＲ1〜4≫{/c}の
{c05}≪ブルファンゴ≫≪アプトノス≫
{/c}から入手可能。","Found in {c05}[HR 1-4] 
{/c}Carve from {c05}Bullfango 
{/c}or {c05}Aptonoth."
41,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
42,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
43,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
44,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
45,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
46,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
47,"{c05}≪マイガーデン≫{/c}や
{c05}≪クエスト中≫{/c}に{c05}≪肉焼き≫{/c}
することで入手可能。","Obtained from {c05}My Garden {/c}or 
Roasting meat during 
a quest."
48,"{c05}≪マイガーデン≫{/c}や
{c05}≪クエスト中≫{/c}に{c05}≪肉焼き≫{/c}
することで入手可能。","Obtained from {c05}My Garden {/c}or 
Roasting meat during 
a quest."
49,"{c05}≪マイガーデン≫{/c}や
{c05}≪クエスト中≫{/c}に{c05}≪肉焼き≫{/c}
することで入手可能。","Obtained from {c05}My Garden {/c}or 
Roasting meat during 
a quest."
50,"{c05}≪マイガーデン≫{/c}や
{c05}≪クエスト中≫{/c}に{c05}≪肉焼き≫{/c}
することで入手可能。","Obtained from {c05}My Garden {/c}or 
Roasting meat during 
a quest."
51,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
52,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
53,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
54,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
55,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
56,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
57,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。","Obtained by cooking fish 
with a {c05}Universal BBQ Set{/c}."
58,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。","Obtained by cooking fish 
with a {c05}Universal BBQ Set{/c}."
59,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。","Obtained by cooking fish 
with a {c05}Universal BBQ Set{/c}."
60,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。","Obtained by cooking fish 
with a {c05}Universal BBQ Set{/c}."
61,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。","Obtained by cooking fish 
with a {c05}Universal BBQ Set{/c}."
62,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。","Obtained by cooking fish 
with a {c05}Universal BBQ Set{/c}."
63,dummy,
64,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
65,"クエストの{c05}≪支給品≫{/c}
{c02}持ち帰り不可。","Obtained in {c05}Quest Supplies 
{c02}cannot be kept after 
a quest{/c}."
66,"クエストの{c05}≪支給品≫{/c}
{c02}持ち帰り不可。","Obtained in {c05}Quest Supplies 
{c02}cannot be kept after 
a quest{/c}."
67,"クエストの{c05}≪支給品≫{/c}
{c02}持ち帰り不可。","Obtained in {c05}Quest Supplies 
{c02}cannot be kept after 
a quest{/c}."
68,"クエストの{c05}≪支給品≫{/c}
{c02}持ち帰り不可。","Obtained in {c05}Quest Supplies 
{c02}cannot be kept after 
a quest{/c}."
69,"クエストの{c05}≪支給品≫{/c}
{c02}持ち帰り不可。","Obtained in {c05}Quest Supplies 
{c02}cannot be kept after 
a quest{/c}."
70,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
71,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
72,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
73,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
74,"{c05}≪マイガーデン≫{/c}や
{c05}≪密林≫≪砂漠≫{/c}で
{c05}≪採取≫{/c}することで入手可能。","Obtained from {c05}My Garden {/c}or
Gathering: {c05}Jungle
{/c}and {c05}Desert{/c}."
75,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
76,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
77,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
78,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
79,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
80,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
81,"{c05}≪密林≫≪沼地≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Jungle {/c}and 
{c05}Swamp{/c}."
82,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
83,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
84,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
85,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
86,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
87,dummy,
88,"{c05}≪沼地≫{/c}での{c05}≪採取≫{/c}や
{c05}≪Ｎポイント交換≫{/c}
から入手可能。","Gathering: {c05}Swamp 
{/c}Trading: {c05}Npoints{/c}."
89,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
90,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
91,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
92,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
93,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
94,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
95,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
96,"{c05}≪マイガーデン≫{/c}で
入手可能。",Obtain from {c05}My Garden{/c}.
97,"クエストの{c05}≪支給品≫{/c}
{c02}持ち帰り不可。","Obtained in {c05}Quest Supplies 
{c02}cannot be kept after 
a quest{/c}."
98,dummy,
99,"{c05}≪火山≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Gathering: {c05}Volcano {/c}or
Purchase from {c05}Combiner{/c}."
100,"{c05}≪マイガーデン≫{/c}や
{c05}≪密林≫{/c}で
{c05}≪採取≫{/c}することで入手可能。","Obtain from {c05}My Garden {/c}or 
Gathering: {c05}Jungle{/c}."
101,"{c05}≪樹海≫≪高地≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Great Forest {/c}or 
{c05}Highlands{/c}."
102,dummy,
103,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
104,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
105,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
106,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
107,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
108,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
109,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
110,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
111,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
112,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
113,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
114,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
115,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
116,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
117,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
118,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
119,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
120,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
121,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
122,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
123,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
124,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
125,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
126,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
127,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
128,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
129,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
130,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
131,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
132,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
133,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
134,dummy,
135,dummy,
136,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
137,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
138,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
139,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
140,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
141,dummy,
142,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
143,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
144,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
145,"{c05}≪密林≫≪砂漠≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Jungle {/c}or 
{c05}Desert{/c}."
146,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
147,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
148,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
149,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
150,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
151,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
152,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
153,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
154,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
155,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
156,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
157,"{c05}≪森丘≫{/c}の山菜ジジィと
{c05}≪アイテム交換≫{/c}で入手可能。","Trading: {c05}Forest & Hills 
{/c}Veggie Elder. Or
Trading: {c05}Item Exchange{/c}."
158,"{c05}≪総合ショップ≫{/c}
から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
159,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
160,"{c05}≪森丘≫{/c}の山菜ジジィと
{c05}≪アイテム交換≫{/c}で入手可能。","Trading: {c05}Forest & Hills 
{/c}Veggie Elder. Or
Trading: {c05}Item Exchange{/c}."
161,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
162,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
163,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
164,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
165,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
166,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
167,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
168,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
169,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
170,dummy,
171,dummy,
172,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
173,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
174,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
175,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
176,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
177,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
178,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
179,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
180,"{c05}≪マイガーデン≫{/c}や{c05}≪密林≫{/c}
での{c05}≪採取≫{/c}や{c05}≪フェスタ≫{/c}の
{c05}≪調合屋≫{/c}から入手可能。","Obtain from {c05}My Garden {/c}or
Gathering: {c05}Jungle 
Or from{c05}Combo Fiesta{/c}."
181,"昼の{c05}≪密林≫≪雪山≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering [Day]: {c05}Jungle {/c}or 
{c05}Snowy Mountains{/c}."
182,"夜の{c05}≪密林≫≪雪山≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering [Night]: {c05}Jungle {/c}or 
{c05}Snowy Mountains{/c}."
183,"{c05}≪樹海≫≪塔≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Great Forest {/c}or 
{c05}Tower{/c}."
184,"{c05}≪沼地≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Purchase from the 
{c05}Combiner {/c}or
Gathering: {c05}Swamp{/c}."
185,"{c05}≪火山≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Gathering: {c05}Volcano {/c}or
Purchase from {c05}Combiner{/c}."
186,"{c05}≪密林≫{/c}での{c05}≪採取≫{/c}や
{c05}≪フェスタ≫{/c}の{c05}≪調合屋≫{/c}
から入手可能。","Gathering: {c05}Jungle 
{/c}Or from {c05}Combo Fiesta{/c}."
187,"{c05}≪沼地≫≪雪山≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Swamp {/c}or 
{c05}Snowy Mountains{/c}."
188,"{c05}≪密林≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Purchase from the 
{c05}Combiner {/c}or
Gathering: {c05}Jungle{/c}."
189,"{c05}≪沼地≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Purchase from the 
{c05}Combiner {/c}or
Gathering: {c05}Swamp{/c}."
190,"{c05}≪マイガーデン≫{/c}や
{c05}≪砂漠≫{/c}で{c05}≪採取≫{/c}
することで入手可能。","Obtain from {c05}My Garden {/c}or 
Gathering: {c05}Desert{/c}."
191,"{c05}≪精算アイテム≫
{c02}持ち帰り不可。","{c05}Account Item 
{c02}Cannot be brought 
back from quests{/c}."
192,"{c05}≪砂漠≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Purchase from the 
{c05}Combiner {/c}or
Gathering: {c05}Desert{/c}."
193,"{c05}≪精算アイテム≫
{c02}持ち帰り不可。","{c05}Account Item 
{c02}Cannot be brought 
back from quests{/c}."
194,"{c05}≪精算アイテム≫
{c02}持ち帰り不可。","{c05}Account Item 
{c02}Cannot be brought 
back from quests{/c}."
195,"{c05}≪精算アイテム≫
{c02}持ち帰り不可。","{c05}Account Item 
{c02}Cannot be brought 
back from quests{/c}."
196,"{c05}≪マイガーデン≫{/c}や
{c05}≪密林≫{/c}で
{c05}≪採取≫{/c}することで入手可能。","Obtain from {c05}My Garden {/c}or 
Gathering: {c05}Jungle{/c}."
197,"{c05}≪密林≫{/c}での{c05}≪採取≫{/c}や
{c05}≪フェスタ≫{/c}の{c05}≪調合屋≫{/c}
から入手可能。","Gathering: {c05}Jungle 
{/c}Or from {c05}Combo Fiesta{/c}."
198,"{c05}≪沼地≫{/c}での{c05}≪採取≫{/c}や
{c05}≪フェスタ≫{/c}の{c05}≪調合屋≫{/c}
から入手可能。","Gathering: {c05}Swamp
{/c}Or from {c05}Combo Fiesta{/c}."
199,"{c05}≪沼地≫{/c}での{c05}≪採取≫{/c}や
{c05}≪フェスタ≫{/c}の{c05}≪調合屋≫{/c}
から入手可能。","Gathering: {c05}Swamp
{/c}Or from {c05}Combo Fiesta{/c}."
200,"{c05}≪密林≫≪樹海≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Jungle {/c}or 
{c05}Great Forest{/c}."
201,"{c05}≪火山≫{/c}での{c05}≪採取≫{/c}や
{c05}≪フェスタ≫{/c}の{c05}≪調合屋≫{/c}
から入手可能。","Gathering: {c05}Volcano
{/c}Or from {c05}Combo Fiesta{/c}."
202,"{c05}≪精算アイテム≫
{c02}持ち帰り不可。","{c05}Account Item 
{c02}Cannot be brought 
back from quests{/c}."
203,"夜の{c05}≪沼地≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。",Gathering [Night]: {c05}Swamp{/c}.
204,"{c05}≪雪山≫{/c}での{c05}≪採取≫{/c}や
{c05}≪ＨＲ3以上≫{/c}の
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Gathering: {c05}Snowy Mountains 
{/c}or 
Trading [HR3+]: {c05}Npoints{/c}."
205,"{c05}≪密林≫≪森丘≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Great Forest {/c}or 
{c05}Forest & Hills{/c}."
206,"{c05}≪火山≫≪砂漠≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Volcano {/c}or 
{c05}Desert{/c}."
207,"{c05}≪火山≫≪雪山≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Volcano {/c}or 
{c05}Snowy Mountains{/c}."
208,"{c05}≪火山≫≪塔≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Volcano {/c}or 
{c05}Tower{/c}."
209,"{c05}≪密林≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Purchase from the 
{c05}Combiner {/c}or
Gathering: {c05}Jungle{/c}."
210,"{c05}≪火山≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Gathering: {c05}Volcano {/c}or
Purchase from {c05}Combiner{/c}."
211,"{c05}≪塔≫{/c}での{c05}≪採取≫{/c}や
{c05}≪調合屋≫{/c}から入手可能。","Purchase from the 
{c05}Combiner {/c}or
Gathering: {c05}Tower{/c}."
212,"{c05}≪密林≫≪潮島≫{/c}で
{c05}≪採取≫{/c}
することで入手可能。","Gathering: {c05}Jungle {/c}or 
{c05}Tidal Island{/c}."
213,"昼の{c05}≪密林≫≪潮島≫{/c}での
{c05}≪採取≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Trading: {c05}Npoints {/c}or
{/c}Gathering [Day]: {c05}Jungle 
{/c}and {c05}Tidal Island{/c}."
214,"昼の{c05}≪密林≫≪潮島≫{/c}での
{c05}≪採掘≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Trading: {c05}Npoints {/c}or
{/c}Mining [Day]: {c05}Jungle 
{/c}and {c05}Tidal Island{/c}."
215,"{c05}≪マイガーデン≫{/c}や
{c05}≪密林≫≪樹海≫{/c}で
{c05}≪採掘≫{/c}することで入手可能。","Obtain from {c05}My Garden {/c}or 
Mining: {c05}Jungle {/c}or
{c05}Great Forest{/c}."
216,"{c05}≪マイガーデン≫{/c}や
{c05}≪密林≫{/c}での{c05}≪採掘≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Obtain from {c05}My Garden {/c} 
{/c}Mining: {c05}Jungle 
{/c}Trading: {c05}Npoints{/c}."
217,"{c05}≪マイガーデン≫{/c}や
{c05}≪密林≫{/c}での{c05}≪採掘≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Obtain from {c05}My Garden {/c} 
{/c}Mining: {c05}Jungle 
{/c}Trading: {c05}Npoints{/c}."
218,"{c05}≪マイガーデン≫{/c}や
{c05}≪密林≫{/c}での{c05}≪採掘≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Obtain from {c05}My Garden {/c} 
{/c}Mining: {c05}Jungle 
{/c}Trading: {c05}Npoints{/c}."
219,"{c05}≪塔≫{/c}での{c05}≪採掘≫{/c}や
{c05}≪ＨＲ3以上≫{/c}の
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Mining: {c05}Tower 
{/c}or 
Trading [HR3+]: {c05}Npoints{/c}."
220,"{c05}≪ＨＲ3以上≫{/c}の
{c05}≪密林≫{/c}での{c05}≪採掘≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。","Found in {c05}[HR3+] 
{/c}Mining: Jungle {/c}or
Trading: {c05}Npoints{/c}."
